Label,Colony,Inferred,Pop,Prop
1,DC12,2,1,0.002
2,DC37,2,1,0.002
3,DC42,2,1,0.002
4,DC45,2,1,0.002
5,DC47,2,1,0.002
6,DC48,2,1,0.002
7,DC50,2,1,0.002
8,DC52,2,1,0.002
9,DC16,2,1,0.003
10,DC24,2,1,0.003
11,DC29,2,1,0.003
12,DC31,2,1,0.003
13,DC39,2,1,0.003
14,DC43,2,1,0.003
15,DC44,2,1,0.003
16,DC40,2,1,0.004
17,DC38,2,1,0.005
18,DC41,2,1,0.007
19,DC8,1,1,0.881
20,DC22,1,1,0.993
21,DC19,1,1,0.994
22,DC7,1,1,0.995
23,DC23,1,1,0.996
24,DC28,1,1,0.996
25,DC30,1,1,0.996
26,DC51,1,1,0.996
27,DC9,1,1,0.997
28,DC13,1,1,0.997
29,DC18,1,1,0.997
30,DC21,1,1,0.997
31,DC34,1,1,0.997
32,DC36,1,1,0.997
33,DC49,1,1,0.997
34,DC11,1,1,0.998
35,DC14,1,1,0.998
36,DC15,1,1,0.998
37,DC17,1,1,0.998
38,DC20,1,1,0.998
39,DC25,1,1,0.998
40,DC26,1,1,0.998
41,DC27,1,1,0.998
42,DC32,1,1,0.998
43,DC33,1,1,0.998
44,DC35,1,1,0.998
45,DC46,1,1,0.998
1,DC12,2,2,0.998
2,DC37,2,2,0.998
3,DC42,2,2,0.998
4,DC45,2,2,0.998
5,DC47,2,2,0.998
6,DC48,2,2,0.998
7,DC50,2,2,0.998
8,DC52,2,2,0.998
9,DC16,2,2,0.997
10,DC24,2,2,0.997
11,DC29,2,2,0.997
12,DC31,2,2,0.997
13,DC39,2,2,0.997
14,DC43,2,2,0.997
15,DC44,2,2,0.997
16,DC40,2,2,0.996
17,DC38,2,2,0.995
18,DC41,2,2,0.993
19,DC8,1,2,0.119
20,DC22,1,2,0.007
21,DC19,1,2,0.006
22,DC7,1,2,0.005
23,DC23,1,2,0.004
24,DC28,1,2,0.004
25,DC30,1,2,0.004
26,DC51,1,2,0.004
27,DC9,1,2,0.003
28,DC13,1,2,0.003
29,DC18,1,2,0.003
30,DC21,1,2,0.003
31,DC34,1,2,0.003
32,DC36,1,2,0.003
33,DC49,1,2,0.003
34,DC11,1,2,0.002
35,DC14,1,2,0.002
36,DC15,1,2,0.002
37,DC17,1,2,0.002
38,DC20,1,2,0.002
39,DC25,1,2,0.002
40,DC26,1,2,0.002
41,DC27,1,2,0.002
42,DC32,1,2,0.002
43,DC33,1,2,0.002
44,DC35,1,2,0.002
45,DC46,1,2,0.002
